title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink,parss_meetingdate,parss_meetingtime,parss_location,parss_committee,parss_bills,parss_incapitol,parss_locationroom,parss_locationbuilding
04/11/2023 10:00 AM APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/11/2023 10:00 AM APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,"Budget Hearings 
10AM - Department of Human Services 
1PM - Department of Human Services - House Chamber","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Budget Hearings \n10AM - Department of Human Services \n1PM - Department of Human Services - House Chamber'}","Tue, 11 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=101, tm_isdst=0)","04/11/2023 10:00 AM APPROPRIATIONS (H)Budget Hearings 
10AM - Department of Human Services 
1PM - Department of Human Services - House Chamber",False,04/11/2023,10:00 AM,House Chamber,HOUSE APPROPRIATIONS,,0,,
04/11/2023 12:00 PM TRANSPORTATION (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/11/2023 12:00 PM TRANSPORTATION (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Informational meeting on The Effects of Using the Motor License Fund to Supplement the Budget of the Pennsylvania State Police. - Room 515 Irvis Office,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Informational meeting on The Effects of Using the Motor License Fund to Supplement the Budget of the Pennsylvania State Police. - Room 515 Irvis Office'}","Tue, 11 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=101, tm_isdst=0)",04/11/2023 12:00 PM TRANSPORTATION (H)Informational meeting on The Effects of Using the Motor License Fund to Supplement the Budget of the Pennsylvania State Police. - Room 515 Irvis Office,False,04/11/2023,12:00 PM,Room 515 Irvis Office,HOUSE TRANSPORTATION,,1,515,Irvis Office
04/11/2023 12:00 PM DEMOCRATIC POLICY COMMITTEE (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/11/2023 12:00 PM DEMOCRATIC POLICY COMMITTEE (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Public hearing on Support for people with disabilities. - Room G50 Irvis Office,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Public hearing on Support for people with disabilities. - Room G50 Irvis Office'}","Tue, 11 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=101, tm_isdst=0)",04/11/2023 12:00 PM DEMOCRATIC POLICY COMMITTEE (H)Public hearing on Support for people with disabilities. - Room G50 Irvis Office,False,04/11/2023,12:00 PM,Room G50 Irvis Office,DEMOCRATIC POLICY COMMITTEE (H),,1,G50,Irvis Office
04/11/2023 1:00 PM AGRICULTURE AND RURAL AFFAIRS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/11/2023 1:00 PM AGRICULTURE AND RURAL AFFAIRS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,"Informational meeting to discuss the status of organic production in PA, recent and pending developments, and any other business that may come before the committee. - Rodale Institute Visitor's Center 611 Siegfriedale Road Kutztown, PA 19530","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': ""Informational meeting to discuss the status of organic production in PA, recent and pending developments, and any other business that may come before the committee. - Rodale Institute Visitor's Center 611 Siegfriedale Road Kutztown, PA 19530""}","Tue, 11 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=101, tm_isdst=0)","04/11/2023 1:00 PM AGRICULTURE AND RURAL AFFAIRS (H)Informational meeting to discuss the status of organic production in PA, recent and pending developments, and any other business that may come before the committee. - Rodale Institute Visitor's Center 611 Siegfriedale Road Kutztown, PA 19530",False,04/11/2023,1:00 PM,"Rodale Institute Visitor's Center 611 Siegfriedale Road Kutztown, PA 19530",HOUSE AGRICULTURE AND RURAL AFFAIRS,,0,,
04/12/2023 10:00 AM APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/12/2023 10:00 AM APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,"Budget Hearings 
10AM - Department of Labor & Industry 
1PM - Department of Revenue 
3PM - Office of the Inspector General - House Chamber","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Budget Hearings \n10AM - Department of Labor & Industry \n1PM - Department of Revenue \n3PM - Office of the Inspector General - House Chamber'}","Wed, 12 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=12, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=102, tm_isdst=0)","04/12/2023 10:00 AM APPROPRIATIONS (H)Budget Hearings 
10AM - Department of Labor & Industry 
1PM - Department of Revenue 
3PM - Office of the Inspector General - House Chamber",False,04/12/2023,10:00 AM,House Chamber,HOUSE APPROPRIATIONS,,0,,
04/12/2023 10:00 AM HEALTH (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/12/2023 10:00 AM HEALTH (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Informational Meeting on Prescription Drug Affordability Boards. - Room 205 Ryan Office,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Informational Meeting on Prescription Drug Affordability Boards. - Room 205 Ryan Office'}","Wed, 12 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=12, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=102, tm_isdst=0)",04/12/2023 10:00 AM HEALTH (H)Informational Meeting on Prescription Drug Affordability Boards. - Room 205 Ryan Office,False,04/12/2023,10:00 AM,Room 205 Ryan Office,HOUSE HEALTH,,1,205,Ryan Office
04/12/2023 11:30 AM LEGISLATIVE BUDGET & FINANCE COMMITTEE,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/12/2023 11:30 AM LEGISLATIVE BUDGET & FINANCE COMMITTEE'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Meeting of the Legislative Budget and Finance Committee. - Room 8E-B East Wing Live Streamed,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Meeting of the Legislative Budget and Finance Committee. - Room 8E-B East Wing Live Streamed'}","Wed, 12 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=12, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=102, tm_isdst=0)",04/12/2023 11:30 AM LEGISLATIVE BUDGET & FINANCE COMMITTEEMeeting of the Legislative Budget and Finance Committee. - Room 8E-B East Wing Live Streamed,False,04/12/2023,11:30 AM,Room 8E-B East Wing Live Streamed,LEGISLATIVE BUDGET & FINANCE COMMITTEE,,1,8E-B,East Wing Live Streamed
04/12/2023 11:45 AM LEGISLATIVE BUDGET & FINANCE COMMITTEE,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/12/2023 11:45 AM LEGISLATIVE BUDGET & FINANCE COMMITTEE'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,meeting on Legislative Budget and Finance Committee Officers Meeting. - Room 8E-B East Wing,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'meeting on Legislative Budget and Finance Committee Officers Meeting. - Room 8E-B East Wing'}","Wed, 12 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=12, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=102, tm_isdst=0)",04/12/2023 11:45 AM LEGISLATIVE BUDGET & FINANCE COMMITTEEmeeting on Legislative Budget and Finance Committee Officers Meeting. - Room 8E-B East Wing,False,04/12/2023,11:45 AM,Room 8E-B East Wing,LEGISLATIVE BUDGET & FINANCE COMMITTEE,,1,8E-B,East Wing
04/12/2023 12:00 PM DEMOCRATIC POLICY COMMITTEE (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/12/2023 12:00 PM DEMOCRATIC POLICY COMMITTEE (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Public hearing on Career and Technical Education. - Room G50 Irvis Office,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Public hearing on Career and Technical Education. - Room G50 Irvis Office'}","Wed, 12 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=12, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=102, tm_isdst=0)",04/12/2023 12:00 PM DEMOCRATIC POLICY COMMITTEE (H)Public hearing on Career and Technical Education. - Room G50 Irvis Office,False,04/12/2023,12:00 PM,Room G50 Irvis Office,DEMOCRATIC POLICY COMMITTEE (H),,1,G50,Irvis Office
04/12/2023 1:00 PM EDUCATION (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '04/12/2023 1:00 PM EDUCATION (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,"Voting meeting on HB 148, HB 301, HB 663, HB 668 and Informational Hearing on Teacher Shortages immediately following the voting meeting. - Room 60 East Wing","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting meeting on HB 148, HB 301, HB 663, HB 668 and Informational Hearing on Teacher Shortages immediately following the voting meeting. - Room 60 East Wing'}","Wed, 12 Apr 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=12, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=102, tm_isdst=0)","04/12/2023 1:00 PM EDUCATION (H)Voting meeting on HB 148, HB 301, HB 663, HB 668 and Informational Hearing on Teacher Shortages immediately following the voting meeting. - Room 60 East Wing",False,04/12/2023,1:00 PM,Room 60 East Wing,HOUSE EDUCATION,"HB148,HB301,HB663,HB668",1,60,East Wing
