title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
"Daily Session Report for Monday, March 13, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Monday, March 13, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230313.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230313.htm,"The House Daily Session Report for Monday, March 13, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Monday, March 13, 2023'}","Mon, 13 Mar 2023 16:42:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=13, tm_hour=16, tm_min=42, tm_sec=0, tm_wday=0, tm_yday=72, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230313.htm#20230313124200,False
"Daily Session Report for Wednesday, March 08, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Wednesday, March 08, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230308.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230308.htm,"The House Daily Session Report for Wednesday, March 08, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Wednesday, March 08, 2023'}","Wed, 08 Mar 2023 20:18:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=20, tm_min=18, tm_sec=0, tm_wday=2, tm_yday=67, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230308.htm#20230308031800,False
"Daily Session Report for Tuesday, March 07, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Tuesday, March 07, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230307.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230307.htm,"The House Daily Session Report for Tuesday, March 07, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Tuesday, March 07, 2023'}","Tue, 07 Mar 2023 22:18:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=7, tm_hour=22, tm_min=18, tm_sec=0, tm_wday=1, tm_yday=66, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230307.htm#20230307051800,False
"Daily Session Report for Monday, March 06, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Monday, March 06, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230306.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230306.htm,"The House Daily Session Report for Monday, March 06, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Monday, March 06, 2023'}","Mon, 06 Mar 2023 21:22:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=21, tm_min=22, tm_sec=0, tm_wday=0, tm_yday=65, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230306.htm#20230306042200,False
"Daily Session Report for Thursday, March 02, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Thursday, March 02, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230302.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230302.htm,"The House Daily Session Report for Thursday, March 02, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Thursday, March 02, 2023'}","Mon, 06 Mar 2023 15:16:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=15, tm_min=16, tm_sec=0, tm_wday=0, tm_yday=65, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230302.htm#20230306101600,False
"Daily Session Report for Wednesday, March 01, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Wednesday, March 01, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230301.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230301.htm,"The House Daily Session Report for Wednesday, March 01, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Wednesday, March 01, 2023'}","Wed, 01 Mar 2023 21:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=21, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=60, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230301.htm#20230301040000,False
"Daily Session Report for Tuesday, February 28, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Tuesday, February 28, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230228.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230228.htm,"The House Daily Session Report for Tuesday, February 28, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Tuesday, February 28, 2023'}","Tue, 28 Feb 2023 19:51:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=28, tm_hour=19, tm_min=51, tm_sec=0, tm_wday=1, tm_yday=59, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230228.htm#20230228025100,False
"Daily Session Report for Friday, February 24, 2023 (Special Session 1)","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Friday, February 24, 2023 (Special Session 1)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230224.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230224.htm,"The House Daily Session Report for Friday, February 24, 2023 (Special Session 1)","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Friday, February 24, 2023 (Special Session 1)'}","Fri, 24 Feb 2023 17:06:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=24, tm_hour=17, tm_min=6, tm_sec=0, tm_wday=4, tm_yday=55, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230224.htm#20230224120600,False
"Daily Session Report for Thursday, February 23, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Thursday, February 23, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230223.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230223.htm,"The House Daily Session Report for Thursday, February 23, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Thursday, February 23, 2023'}","Thu, 23 Feb 2023 21:05:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=23, tm_hour=21, tm_min=5, tm_sec=0, tm_wday=3, tm_yday=54, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230223.htm#20230223040500,False
"Daily Session Report for Thursday, February 23, 2023 (Special Session 1)","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'Daily Session Report for Thursday, February 23, 2023 (Special Session 1)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230223.htm'}]",https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230223.htm,"The House Daily Session Report for Thursday, February 23, 2023 (Special Session 1)","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/DailySessionReports.xml', 'value': 'The House Daily Session Report for Thursday, February 23, 2023 (Special Session 1)'}","Fri, 24 Feb 2023 17:06:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=24, tm_hour=17, tm_min=6, tm_sec=0, tm_wday=4, tm_yday=55, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230223.htm#20230224120600,False
