title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
"PA House Journal for January 05, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for January 05, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210105.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210105.pdf,"Transcripts of House Floor Actions for January 05, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for January 05, 2021'}","Mon, 19 Apr 2021 15:18:00 GMT","time.struct_time(tm_year=2021, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=18, tm_sec=0, tm_wday=0, tm_yday=109, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210105.pdf20210419111800,False
"PA House Journal for January 11, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for January 11, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210111.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210111.pdf,"Transcripts of House Floor Actions for January 11, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for January 11, 2021'}","Mon, 19 Apr 2021 15:19:00 GMT","time.struct_time(tm_year=2021, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=19, tm_sec=0, tm_wday=0, tm_yday=109, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210111.pdf20210419111900,False
"PA House Journal for January 12, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for January 12, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210112.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210112.pdf,"Transcripts of House Floor Actions for January 12, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for January 12, 2021'}","Mon, 19 Apr 2021 15:20:00 GMT","time.struct_time(tm_year=2021, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=20, tm_sec=0, tm_wday=0, tm_yday=109, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210112.pdf20210419112000,False
"PA House Journal for January 13, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for January 13, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210113.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210113.pdf,"Transcripts of House Floor Actions for January 13, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for January 13, 2021'}","Mon, 19 Apr 2021 15:20:00 GMT","time.struct_time(tm_year=2021, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=20, tm_sec=0, tm_wday=0, tm_yday=109, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210113.pdf20210419112000,False
"PA House Journal for January 25, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for January 25, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210125.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210125.pdf,"Transcripts of House Floor Actions for January 25, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for January 25, 2021'}","Mon, 19 Apr 2021 15:20:00 GMT","time.struct_time(tm_year=2021, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=20, tm_sec=0, tm_wday=0, tm_yday=109, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210125.pdf20210419112000,False
"PA House Journal for January 26, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for January 26, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210126.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210126.pdf,"Transcripts of House Floor Actions for January 26, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for January 26, 2021'}","Mon, 19 Apr 2021 15:20:00 GMT","time.struct_time(tm_year=2021, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=20, tm_sec=0, tm_wday=0, tm_yday=109, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210126.pdf20210419112000,False
"PA House Journal for January 27, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for January 27, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210127.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210127.pdf,"Transcripts of House Floor Actions for January 27, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for January 27, 2021'}","Tue, 04 May 2021 17:00:00 GMT","time.struct_time(tm_year=2021, tm_mon=5, tm_mday=4, tm_hour=17, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=124, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210127.pdf20210504010000,False
"PA House Journal for January 28, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for January 28, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210128.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210128.pdf,"Transcripts of House Floor Actions for January 28, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for January 28, 2021'}","Tue, 04 May 2021 17:01:00 GMT","time.struct_time(tm_year=2021, tm_mon=5, tm_mday=4, tm_hour=17, tm_min=1, tm_sec=0, tm_wday=1, tm_yday=124, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210128.pdf20210504010100,False
"PA House Journal for February 03, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for February 03, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210203.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210203.pdf,"Transcripts of House Floor Actions for February 03, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for February 03, 2021'}","Tue, 04 May 2021 17:01:00 GMT","time.struct_time(tm_year=2021, tm_mon=5, tm_mday=4, tm_hour=17, tm_min=1, tm_sec=0, tm_wday=1, tm_yday=124, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210203.pdf20210504010100,False
"PA House Journal for February 04, 2021","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'PA House Journal for February 04, 2021'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210204.pdf'}]",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210204.pdf,"Transcripts of House Floor Actions for February 04, 2021","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseJournals.xml', 'value': 'Transcripts of House Floor Actions for February 04, 2021'}","Tue, 04 May 2021 17:01:00 GMT","time.struct_time(tm_year=2021, tm_mon=5, tm_mday=4, tm_hour=17, tm_min=1, tm_sec=0, tm_wday=1, tm_yday=124, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/HJ/2021/0/20210204.pdf20210504010100,False
