title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
"Nominations Calendar for Monday, April 24, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Monday, April 24, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230424.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230424.pdf,"The Executive Nominations Calendar for Monday, April 24, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Monday, April 24, 2023'}","Thu, 09 Mar 2023 13:31:57 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=9, tm_hour=13, tm_min=31, tm_sec=57, tm_wday=3, tm_yday=68, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230424.pdf#20230309083157,False
"Nominations Calendar for Wednesday, March 08, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Wednesday, March 08, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230308.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230308.pdf,"The Executive Nominations Calendar for Wednesday, March 08, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Wednesday, March 08, 2023'}","Tue, 07 Mar 2023 21:18:26 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=7, tm_hour=21, tm_min=18, tm_sec=26, tm_wday=1, tm_yday=66, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230308.pdf#20230307041826,False
"Nominations Calendar for Tuesday, March 07, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Tuesday, March 07, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230307.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230307.pdf,"The Executive Nominations Calendar for Tuesday, March 07, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Tuesday, March 07, 2023'}","Mon, 06 Mar 2023 21:51:05 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=21, tm_min=51, tm_sec=5, tm_wday=0, tm_yday=65, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230307.pdf#20230306045105,False
"Nominations Calendar for Monday, March 06, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Monday, March 06, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230306.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230306.pdf,"The Executive Nominations Calendar for Monday, March 06, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Monday, March 06, 2023'}","Wed, 01 Mar 2023 17:59:56 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=17, tm_min=59, tm_sec=56, tm_wday=2, tm_yday=60, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230306.pdf#20230301125956,False
"Nominations Calendar for Wednesday, March 01, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Wednesday, March 01, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230301.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230301.pdf,"The Executive Nominations Calendar for Wednesday, March 01, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Wednesday, March 01, 2023'}","Tue, 28 Feb 2023 21:58:35 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=28, tm_hour=21, tm_min=58, tm_sec=35, tm_wday=1, tm_yday=59, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230301.pdf#20230228045835,False
"Nominations Calendar for Tuesday, February 28, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Tuesday, February 28, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230228.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230228.pdf,"The Executive Nominations Calendar for Tuesday, February 28, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Tuesday, February 28, 2023'}","Mon, 27 Feb 2023 21:22:46 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=27, tm_hour=21, tm_min=22, tm_sec=46, tm_wday=0, tm_yday=58, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230228.pdf#20230227042246,False
"Nominations Calendar for Monday, February 27, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Monday, February 27, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230227.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230227.pdf,"The Executive Nominations Calendar for Monday, February 27, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Monday, February 27, 2023'}","Wed, 18 Jan 2023 17:45:37 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=18, tm_hour=17, tm_min=45, tm_sec=37, tm_wday=2, tm_yday=18, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230227.pdf#20230118124537,False
"Nominations Calendar for Wednesday, January 18, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Wednesday, January 18, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230118.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230118.pdf,"The Executive Nominations Calendar for Wednesday, January 18, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Wednesday, January 18, 2023'}","Tue, 17 Jan 2023 16:06:50 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=16, tm_min=6, tm_sec=50, tm_wday=1, tm_yday=17, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230118.pdf#20230117110650,False
"Nominations Calendar for Tuesday, January 17, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Tuesday, January 17, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230117.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230117.pdf,"The Executive Nominations Calendar for Tuesday, January 17, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Tuesday, January 17, 2023'}","Fri, 13 Jan 2023 15:10:38 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=10, tm_sec=38, tm_wday=4, tm_yday=13, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230117.pdf#20230113101038,False
"Nominations Calendar for Friday, January 13, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Friday, January 13, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230113.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230113.pdf,"The Executive Nominations Calendar for Friday, January 13, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Friday, January 13, 2023'}","Fri, 13 Jan 2023 15:03:43 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=3, tm_sec=43, tm_wday=4, tm_yday=13, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230113.pdf#20230113100343,False
"Nominations Calendar for Wednesday, January 11, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'Nominations Calendar for Wednesday, January 11, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/NC/2023/20230111.pdf'}]",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230111.pdf,"The Executive Nominations Calendar for Wednesday, January 11, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/NominationsCalendar.xml', 'value': 'The Executive Nominations Calendar for Wednesday, January 11, 2023'}","Tue, 10 Jan 2023 22:10:54 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=10, tm_hour=22, tm_min=10, tm_sec=54, tm_wday=1, tm_yday=10, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/NC/2023/20230111.pdf#20230110051054,False
