title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink,parss_district,parss_county,parss_party,parss_personal_history,parss_occupation,parss_parents,parss_education,parss_career,parss_other_boards_committees_commissions,parss_military_service,parss_district_1_street1,parss_district_1_street2,parss_district_1_citystatezip,parss_district_1_phone,parss_district_2_street1,parss_district_2_street2,parss_district_2_citystatezip,parss_district_2_phone,parss_district_3_street1,parss_district_3_street2,parss_district_3_citystatezip,parss_district_3_phone,parss_capitoladdress_street1,parss_capitoladdress_street2,parss_capitoladdress_citystatezip,parss_capitoladdress_phone,parss_imagesrc,parss_memberelect,parss_vacant
NIKIL SAVAL,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'NIKIL SAVAL'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1921'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1921,"District 1; Last Updated: Tuesday, November 29, 2022","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 1; Last Updated: Tuesday, November 29, 2022'}","Tue, 29 Nov 2022 08:40:59 GMT","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=29, tm_hour=8, tm_min=40, tm_sec=59, tm_wday=1, tm_yday=333, tm_isdst=0)",Senate_1_20221129_084059,False,01,Philadelphia County (Part),D,,State Senator,,,"Senator Nikil Saval is a father, husband, writer, and organizer. He's proud to be raising his sons, Ishaan and Mayukh, in South Philadelphia with his wife, Shannon Garrison, a historic preservationist. Saval's organizing is deeply rooted in the labor movement. From 2009 to 2013, he was a volunteer labor organizer with UNITE HERE, organizing boycotts against luxury hotel developers to fight for the rights of housekeepers and helping to win back the jobs of noontime aides laid off because of Governor Tom Corbett's budget cuts. Saval also has extensive experience in community and electoral organizing. In 2016, he was a leader in U.S. Senator Bernie Sanders's presidential campaign. From this experience, Saval went on to co-found Reclaim Philadelphia, a progressive organization working for racial, gender, and economic justice throughout the Philadelphia area. In 2018, he organized campaigns to fight for change in the Democratic Party and was elected as Leader of Philadelphia's Democratic Second Ward. Saval was the first Asian American to hold the position of Ward Leader in Philadelphia. In his career as a writer, Saval has been a frequent contributor to The New York Times and a contributing writer for The New Yorker, covering architecture, design, and housing. Saval previously served as co-editor of the literary journal n+1 and still serves on its board of directors. In 2014, Saval published his book Cubed: A Secret History of the Workplace. In Cubed, he examined the long-term evolution of the office from its roots in 19th century counting houses all the way to the cubicle, ultimately presenting a world in which workplaces, and the lives of the workers within them, could be improved in the future. Saval's parents immigrated to the United States from Bangalore, India. In 1982, the year Saval was born, his parents opened a pizza restaurant, where Saval spent much of his childhood and adolescence. The employees of the restaurant were immigrants of all statuses, and Saval's parents helped many of them secure documentation. His family's experiences, as immigrants and as small business owners, were formative for Saval, giving shape to his perspective on workers' rights. Much of Saval's spring 2020 campaign for Pennsylvania State Senate took place against the backdrop of the COVID-19 pandemic and unprecedented global hardship. In response, his campaign transformed rapidly to a mutual aid hub. Saval is deeply committed to solidarity and justice for working people. He is fighting for a Philadelphia and Pennsylvania that works for the many and not the few.",,,1434 Germantown Ave.,,"Philadelphia, PA 19122",(215) 952-3119,1107-09 S. 6th Street,,"Philadelphia, PA 19147",(267) 668-3550,,,,,543 Main Capitol,,"Harrisburg, PA 17120",(717) 787-5662,https://www.legis.state.pa.us/images/members/200/1921.jpg,,false
CHRISTINE M. TARTAGLIONE,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'CHRISTINE M. TARTAGLIONE'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=277'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=277,"District 2; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 2; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:20:25 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=20, tm_sec=25, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_2_20230105_092025,False,02,Philadelphia County (Part),D,,State Senator,Eugene M. and Margaret Tartaglione,"Peirce College, 1980","Mem. Joint Select Committee on Election Issues, Gov Task Force on Voting Modernization, Firefighters and Emergency Services and Port Caucuses, Delaware River Basin Commission, Temple University Health System Episcopal Hospital, PATH (People Acting to Help), Empowerment Zone Board, Impact Services Corp, President's Advisory Council of the American Street Corridor Business Assoc, PenJerDel Steering Committee, and Ecumenical Hospitaller Order of St. John Knights of Malta.  Former Chair of Dem. State Committee.  Recipient Firefighters Friend Award, John F. Kennedy Memorial Award, Working Woman of the Year Award by Coalition of Labor Union Women, Achievement Award from Concerned Black Leaders of Lower Tioga-Hunting Park, Fireman and Prison Guard Assoc of Phila and PHILAPOSH Woman of the Year, cited in Italian Americans of the 20th Century; Member of Senate 1995 to date; Minority Caucus Administrator 2009-2010; elected Minority Caucus Secretary 2011.",,,5321 Oxford Avenue,,"Philadelphia, PA 19124",(215) 533-0440,400 West Allegheny Avenue,,"Philadelphia, PA 19133",(215) 291-4653,,,,,458 Main Capitol,,"Harrisburg, PA 17120",(717) 787-1141,https://www.legis.state.pa.us/images/members/200/277.jpg,,false
SHARIF STREET,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'SHARIF STREET'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1767'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1767,"District 3; Last Updated: Tuesday, November 29, 2022","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 3; Last Updated: Tuesday, November 29, 2022'}","Tue, 29 Nov 2022 08:40:59 GMT","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=29, tm_hour=8, tm_min=40, tm_sec=59, tm_wday=1, tm_yday=333, tm_isdst=0)",Senate_3_20221129_084059,False,03,Philadelphia County (Part),D,"Married to April Street, 5 children",Attorney/ State Senator,Helen and John Street,"Morehouse College, Cum Laude, B.A. in Business Administration and a concentration in Finance. University of Pennsylvania Law School in 1999.","Member of the American, Pennsylvania, Philadelphia and National Bar Associations, member of the Philadelphia Barristers Association; formerly Chief Legislative Advisor to the Democratic Chair of the Housing and Urban Development Committee and creator of Philadelphia Green Communities; co-founder and served on the Board of Directors of Urban Solution, a non-profit corporation created to address the health needs of traditionally under-served communities; council for HOPE VI, formerly managing director of the Housing Association of Delaware Valley; served on the board of the North Central Philadelphia Empowerment Zone's Housing Trust Fund and was a member of the North-Central Empowerment Zone's Community Advisory Committees for Housing, Crime and Public Safety, and Economic Development; and current member of Philadelphia's African and Caribbean Immigrant Affairs Commission.",,,1621 West Jefferson Street,,"Philadelphia, PA 19121",(215) 227-6161,4458 A Germantown Avenue,,"Philadelphia, PA 19140",(215) 457-5200,,,,,535 Main Capitol,,"Harrisburg, PA 17120",(717) 787-6735,https://www.legis.state.pa.us/images/members/200/1767.jpg,,false
ARTHUR L HAYWOOD III,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'ARTHUR L HAYWOOD III'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1689'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1689,"District 4; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 4; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:23:26 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=23, tm_sec=26, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_4_20230105_092326,False,04,Montgomery County (Part) and Philadelphia County (Part),D,Married Julie Billingslea of Ardmore,State Senator,Arthur and Virginia Haywood,"B.A. Magna Cum Laude, Morehouse College, 1979; MsC London School of Economics (Marshall Scholar), 1981; J.D. University of Michigan Law School, 1985.","Worked to expand independence and power in low-income neighborhoods: Housing Attorney at Regional Housing Legal Services and Community Legal Services; Legal Counsel and Executive Vice President at Esperanza; partner in private practice representing community organizations in neighborhood revitalization activities; board member at Tenant Union Representative Network and Cheltenham Achievers Network; recognized for work by Pennsylvania Human Relations Commission, Christian Legal Aid Society, U.S. Department of Housing and Urban Development and John Marshall Fair Housing Institute; Commissioner Cheltenham Township 2010-2014; elected to the State Senate November 4, 2014.",,,1168 Easton Road,,"Abington, PA 19001",(215) 517-1434,7106 Germantown Avenue,,"Philadelphia, PA 19119",(215) 242-8171,,,,,10 East Wing,,"Harrisburg, PA 17120",(717) 787-1427,https://www.legis.state.pa.us/images/members/200/1689.jpg,,false
JIMMY DILLON,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'JIMMY DILLON'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1936'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1936,"District 5; Last Updated: Friday, January 6, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 5; Last Updated: Friday, January 6, 2023'}","Fri, 06 Jan 2023 11:02:15 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=6, tm_hour=11, tm_min=2, tm_sec=15, tm_wday=4, tm_yday=6, tm_isdst=0)",Senate_5_20230106_110215,False,05,Philadelphia County (Part),D,,State Senator,,,"Senator Jimmy Dillon was born and raised in Northeast Philadelphia. He graduated from Our Lady of Calvary School and Holy Ghost Preparatory School before attending the University of Notre Dame on a basketball scholarship. He is the father of two daughters, Reese and Aubrey, and the director of the Hoops 24-7 Basketball Academy. Senator Dillon worked for the School District of Philadelphia as a grant compliance monitor prior to winning his Senate seat in the Spring of 2022.",,,12361 Academy Road,,"Philadelphia, PA 19154",(215) 281-2539,,,,,,,,,17 East Wing,,"Harrisburg, PA 17120",(717) 787-9608,https://www.legis.state.pa.us/images/members/200/1936.jpg,,false
FRANK A. FARRY,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'FRANK A. FARRY'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1169'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1169,"District 6; Last Updated: Wednesday, January 18, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 6; Last Updated: Wednesday, January 18, 2023'}","Wed, 18 Jan 2023 16:13:40 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=18, tm_hour=16, tm_min=13, tm_sec=40, tm_wday=2, tm_yday=18, tm_isdst=0)",Senate_6_20230118_041340,False,06,Bucks County (Part),R,"Married Kristen; 1 son, Jacob and 1 daughter, Charlotte",Legislator,,"Neshaminy High School, 1990<br />University of Pennsylvania, Wharton School, 1995<br />Rutgers University, M.S., Public Policy, 1998<br />Rutgers University, Law Degree, 2000","Senator Frank Farry was elected to the Senate of Pennsylvania in November 2022 to represent the 6th Senate District in Bucks County.<br /><br />While serving in the House of Representatives for seven terms, Farry advanced legislation to designate cancer as an occupational disease for firefighters, offering protection to both career and volunteer firefighters who develop cancer as a result of their service. He also championed public safety measures to require carbon monoxide alarms in multi-family dwellings. Farry was instrumental in advancing legislation now known as the Motor Vehicle Extreme Heat Protection Act, providing protections for animals left in unattended vehicles. He has also authored legislation establishing the Safe2Say Something program, which provides methods of anonymous reporting concerning unsafe or potentially harmful, dangerous, violent, or criminal activities in schools or to individuals. Additionally, he played a major role in expanding the income eligibility limits for the PACENET prescription drug assistance program for seniors and preventing minors from the dangers of indoor tanning.<br /><br />Farry's advocacy efforts have led to recognitions from veterans' and armed forces groups, the disability community, animal welfare groups and addiction and recovery advocates. Specifically, Farry's efforts fighting for our children's safety and educational opportunities has led to numerous recognitions including Pre-K for PA, early education organizations, local scouting troops and both the Lifetime Dedication to Safety and the Families Community Champion Award from the Safe Kids Coalition. Known as a leader in Pennsylvania on first responder issues, Farry has fought hard to ensure our first responders' health and welfare is a priority, as well as making sure they have the resources needed to keep our community safe. He has been honored by the Pennsylvania Fire and Emergency Services Institute; the Fireman's Legislative Federation of Pennsylvania - James Baird Award; the Pennsylvania Heart Rescue Project; Philadelphia Firefighter and Paramedic's Union, Local 22 - Friend of the Firefighters Award; Kidde Fire Safety Corporation and local police organizations. Additionally, Farry's commitment to legislative issues that benefit health and human service providers and the individuals who receive those services earned him the 2022 Legislative Leadership award by the Rehabilitation and Community Providers Association (RCPA).<br /><br />Farry is very active in his community, serving as a volunteer firefighter with the Langhorne-Middletown Fire Company since June 1990 and as chief of the organization since January 2001. He currently serves on the board of trustees for Bucks County Community College and has served on numerous township and county boards and commissions. Farry is also a past board member of the Middletown Community Foundation and the Lower Bucks Chapter of the American Red Cross, as well as the past president of the Bucks County Consortium of Municipalities.<br /><br />Since his swearing-in, Farry has been appointed chair of the Urban Affairs and Housing committee, vice chair of the Consumer Protection and Licensure committee, and is a member of the Appropriations, Communications and Technology, Community, Economic, and Recreational Development, Health and Human Services, and Law and Justice committees. <br /><br />Prior to his time in state government, Farry worked for his hometown of Middletown Township for over seven years. In his role as assistant township manager and director of community services, Farry served in various capacities including acting township manager, public information officer and emergency management team member.",,,370 East Maple Avenue,Suite 203,"Langhorne, PA 19047",(215) 638-1784,,,,,,,,,169 Main Capitol,,"Harrisburg, PA 17120",(717) 787-5072,https://www.legis.state.pa.us/images/members/200/1169.jpg,,false
VINCENT J. HUGHES,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'VINCENT J. HUGHES'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=152'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=152,"District 7; Last Updated: Thursday, December 15, 2022","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 7; Last Updated: Thursday, December 15, 2022'}","Thu, 15 Dec 2022 12:25:32 GMT","time.struct_time(tm_year=2022, tm_mon=12, tm_mday=15, tm_hour=12, tm_min=25, tm_sec=32, tm_wday=3, tm_yday=349, tm_isdst=0)",Senate_7_20221215_122532,False,07,Montgomery County (Part) and Philadelphia County (Part),D,,State Senator,James and Ann Hughes,Temple University,"Senator Vincent J. Hughes represents the 7th Senatorial District in Pennsylvania and serves as the Democratic Chairman of the Senate Appropriations Committee, a position he has held since 2011. He has served in the Senate since November, 1994. He served as a Pennsylvania State Representative from 1987-1994. From 1991-1994, he chaired the Pennsylvania Legislative Black Caucus.<br /><br />Senator Hughes has a career long commitment to providing health insurance for the uninsured and his leadership, public advocacy, and legislative strategy led to Pennsylvania's full implementation of the Affordable Care Act. <br /><br />Senator Hughes was a leader in the fight to raise the state minimum wage. Former Pennsylvania Governor Ed Rendell called Senator Hughes ""our general"" in the successful legislative battle to increase wages for low-income workers in Pennsylvania over $1 billion.<br /><br />Senator Hughes has received national attention for his introduction of Senate Bill 806, The Universal Automatic Voter Registration Act, which would automatically register people to vote whenever they have any interaction with state government. <br /><br />Senator Hughes has been recognized locally and nationally for his work on HIV/AIDS, and the challenges of behavioral health in the African-American community. A believer in breaking down the financial barriers for underserved students in higher education, he has raised over $1 million in scholarship funds for students to attend college.<br /><br />He is a leader in the fight for paid sick leave, and a leader in creating housing for veterans and survivors of domestic violence.<br /><br />Senator Hughes, a champion for neighborhood economic development, is currently introducing a comprehensive ""Marshall Plan"" for housing and urban revitalization.<br /><br />Senator Vincent Hughes is a trustee of the Mt. Carmel Baptist Church, and is supported by his loving wife, actress, entertainer and activist Sheryl Lee Ralph, and their blended family of four children.",,,2401 North 54th Street,,"Philadelphia, PA 19131",(215) 879-7777,,,,,,,,,545 Main Capitol,,"Harrisburg, PA 17120",(717) 787-7112,https://www.legis.state.pa.us/images/members/200/152.jpg,,false
ANTHONY H. WILLIAMS,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'ANTHONY H. WILLIAMS'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=153'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=153,"District 8; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 8; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:19:55 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=19, tm_sec=55, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_8_20230105_091955,False,08,Delaware County (Part) and Philadelphia County (Part),D,Married to Shari,State Senator,Hardy and Carole Williams,"Franklin and Marshall College, Majored in Economics","Williams, Anthony H. (D) (2006)- Delaware (part) and Philadelphia (part) Counties - State Senator; s. Hardy, and Mrs. Carole Williams-Green; g. Franklin & Marshall College, B.S. in Economics; m. Shari, Aug. 26, 1995; chrm. Black Elected Officials of Philadelphia County, 2004; co-founder Neighborhoods United Against Crime and Diversity Apprenticeship Program (DAP); co-chrm. Philadelphia Delegation, House of Representatives, 1991-1998; founder Philadelphians Stopping Crime & Violence, Urban Mass Transit Task Force, 1999, Philadelphia Revitalization and Education Task Force, 2000; South/South West Environmental Cooperative, 1998; pres. Renaissance Advantage Charter School, 1999; bd. dir, Organized Anti-Crime Community Network, Cobbs Creek Black Family Services Inc.; mem. PA Legislative Black Caucus; and Greater Philadelphia Urban Affairs Coalition; fmr. bd. mem., SEPTA, West Branch YMCA; fmr. trustee Temple University; fmr. member, Pennsylvania Council on the Arts; mem. Ethics and Official Conduct Committee; mem. Policy Committee; mem. Legislative Data Processing Committee; Member of House 1989-1998; Member of Senate 1999 to date; elected Minority Caucus Chair 2011.",,,2901 Island Avenue,Suite 100,"Philadelphia, PA 19153",(215) 492-2980,,,,,2103 Snyder Avenue,,"Philadelphia, PA 19145",(215) 755-9185,11 East Wing,,"Harrisburg, PA 17120",(717) 787-5970,https://www.legis.state.pa.us/images/members/200/153.jpg,,false
JOHN I. KANE,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'JOHN I. KANE'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1925'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1925,"District 9; Last Updated: Tuesday, November 29, 2022","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 9; Last Updated: Tuesday, November 29, 2022'}","Tue, 29 Nov 2022 08:40:59 GMT","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=29, tm_hour=8, tm_min=40, tm_sec=59, tm_wday=1, tm_yday=333, tm_isdst=0)",Senate_9_20221129_084059,False,09,Chester County (Part) and Delaware County (Part),D,,State Senator,,,"Senator John Kane is a plumber and local labor leader who has spent his life fighting for working people and working families. He has personally battled through many of the challenges facing Pennsylvanians today, and is ready to be a voice at the table for Delaware and Chester Counties. After graduating high school in Delaware County, Kane joined Plumbers Local 690, the union he represented as business manager for five terms. Kane led his union through the Great Recession, which put nearly 500 members out of work. As members struggled with mental health issues and substance abuse, Kane provided strong, steady leadership and worked to deliver a recovery that brought his local back stronger than ever. Kane's union benefits also helped him through his own personal struggles. At the age of 22, Kane sought treatment for alcohol addiction. His union benefits allowed him the treatment he needed, and he now proudly has 37 years sobriety. In 2015, Kane was diagnosed with stage three cancer. Thanks to his union healthcare, and the incredible doctors, nurses, and hospital staff, Kane has been cancer-free for five years. He knows that his experience isn't unique, and is ready to fight for affordable healthcare for all Pennsylvanians. Kane lives in Birmingham with his wife, Lori. He sits on the board of the Livengrin Foundation, which provides addiction treatment across Southeastern PA.",,,504 Ave. of the States,,"Chester, PA 19013",(610) 447-5845,381 Brinton Lake Rd,Suite 3,"Thornton, PA 19373",,,,,,458 Main Capitol,,"Harrisburg, PA 17120",(717) 787-4712,https://www.legis.state.pa.us/images/members/200/1925.jpg,,false
STEVEN J. SANTARSIERO,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'STEVEN J. SANTARSIERO'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1179'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1179,"District 10; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 10; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:20:51 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=20, tm_sec=51, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_10_20230105_092051,False,10,Bucks County (Part),D,,State Senator,,,"Senator Steve Santarsiero considers public service a calling. After witnessing the September 11th attacks from the window of his law office in Newark, New Jersey, Steve decided to seek a new career in teaching as a way to serve the community. After a couple years of night classes at Holy Family University, Steve received his state certification and was hired as a social studies teacher at Bensalem High School. At BHS he worked hard to give the next generation a strong foundation in history and civics to help them succeed and participate fully as citizens of our country. <br /><br />At about that same time, Steve became a leader in a grassroots movement to stop a big box shopping mall in Lower Makefield. That experience led him to run for township supervisor. He was elected in 2003. As a supervisor he worked with both Republicans and Democrats alike. He led efforts to make government more open and transparent, to solve traffic problems, and to preserve open space and the environment. In 2008, Steve ran and won the State House seat in the Yardley-Newtown area of Bucks County. In Harrisburg he was a reformer, writing the bill that would ultimately get adopted as new House rules on keeping politics and government service separate; refusing perks like per diems and a state car; and not collecting his pay during prolonged budget impasses in 2009 and 2015-16. Steve was also a leader on education, infrastructure investment, environmental protection, women's health issues and gun violence prevention.<br /><br />Back home in Bucks County, Steve led the effort to get PECO to improve the resiliency of its electric grid, vastly reducing the number of power outages in the area. He also worked to bring jobs into his district and successfully lobbied the New Jersey Legislature to grandfather current employees when it passed a new law requiring all public sector workers in the Garden State to live in New Jersey, thereby saving the jobs of thousands of Bucks residents who worked across the Delaware River. In 2017, Attorney General Josh Shapiro appointed Steve the first Chief Deputy Attorney General for Environmental Protection in Pennsylvania. In that role, Steve oversaw the prosecution of environmental crimes and led Pennsylvania's efforts to fight the Trump Administration over proposed rollbacks of important environmental protections. Steve is a graduate of Tufts University where he received his B.A. He received his J.D. from the University of Pennsylvania Law School and his M.Ed. from Holy Family University. Steve and his wife Ronni have lived in the same house in Lower Makefield for over 23 years. They have three children, Nancy, Billy and Johnny.",,,"Building 100, Suite 121",2003 Lower State Road,"Doylestown, PA 18901",(215) 489-5000,3 Terry Drive,Suite 201,"Newtown, PA 18940",(215) 497-9490,,,,,182 Main Capitol,,"Harrisburg, PA 17120",(717) 787-7305,https://www.legis.state.pa.us/images/members/200/1179.jpg,,false
