title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
"Thursday, April 06, 2023  - Representative Ryan E. Mackenzie","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Ryan E. Mackenzie'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40441'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40441,Protecting Domestic Violence Victims by Providing Unemployment Benefits,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Protecting Domestic Violence Victims by Providing Unemployment Benefits'}","Thu, 06 Apr 2023 18:02:02 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=18, tm_min=2, tm_sec=2, tm_wday=3, tm_yday=96, tm_isdst=0)",40441Protecting Domestic Violence Victims by Providing Unemployment Benefits20230406,False
"Thursday, April 06, 2023  - Representative Danielle Friel Otten","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Danielle Friel Otten'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40438'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40438,Student Teacher Stipend Program,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Student Teacher Stipend Program'}","Thu, 06 Apr 2023 17:08:25 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=8, tm_sec=25, tm_wday=3, tm_yday=96, tm_isdst=0)",40438Student Teacher Stipend Program20230406,False
"Thursday, April 06, 2023  - Representative Kristine C. Howard","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Kristine C. Howard'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40436'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40436,Keeping forever chemicals out of our food,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Keeping forever chemicals out of our food'}","Thu, 06 Apr 2023 16:20:05 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=16, tm_min=20, tm_sec=5, tm_wday=3, tm_yday=96, tm_isdst=0)",40436Keeping forever chemicals out of our food20230406,False
"Thursday, April 06, 2023  - Representative Donna Scheuren","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Donna Scheuren'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40437'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40437,School Bus Driver Tax Credit,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'School Bus Driver Tax Credit'}","Thu, 06 Apr 2023 16:12:01 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=16, tm_min=12, tm_sec=1, tm_wday=3, tm_yday=96, tm_isdst=0)",40437School Bus Driver Tax Credit20230406,False
"Thursday, April 06, 2023  - Representative Jessica Benham","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Jessica Benham'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40435'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40435,Improving the Safety of Freight Rail in Pennsylvania,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Improving the Safety of Freight Rail in Pennsylvania'}","Thu, 06 Apr 2023 16:07:39 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=16, tm_min=7, tm_sec=39, tm_wday=3, tm_yday=96, tm_isdst=0)",40435Improving the Safety of Freight Rail in Pennsylvania20230406,False
"Thursday, April 06, 2023  - Representative Jeanne McNeill","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Jeanne McNeill'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40434'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40434,Prohibiting the Sale of Flavored Tobacco Products,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Prohibiting the Sale of Flavored Tobacco Products'}","Thu, 06 Apr 2023 14:45:04 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=14, tm_min=45, tm_sec=4, tm_wday=3, tm_yday=96, tm_isdst=0)",40434Prohibiting the Sale of Flavored Tobacco Products20230406,False
"Thursday, April 06, 2023  - Representative Valerie S. Gaydos","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Valerie S. Gaydos'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40433'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40433,Equity in Education,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Equity in Education'}","Thu, 06 Apr 2023 14:11:58 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=14, tm_min=11, tm_sec=58, tm_wday=3, tm_yday=96, tm_isdst=0)",40433Equity in Education20230406,False
"Thursday, April 06, 2023  - Representative Christopher M. Rabb and Representative Darisha K. Parker","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Christopher M. Rabb and Representative Darisha K. Parker'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40432'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40432,Increasing transparency and accountability for PASSHE and state-related schools,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Increasing transparency and accountability for PASSHE and state-related schools'}","Thu, 06 Apr 2023 13:40:17 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=13, tm_min=40, tm_sec=17, tm_wday=3, tm_yday=96, tm_isdst=0)",40432Increasing transparency and accountability for PASSHE and state-related schools20230406,False
"Thursday, April 06, 2023  - Representative Ed Neilson and Representative Kerry A. Benninghoff","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Ed Neilson and Representative Kerry A. Benninghoff'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40431'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40431,Removing the State Police from the Motor License Fund,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Removing the State Police from the Motor License Fund'}","Thu, 06 Apr 2023 13:39:51 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=13, tm_min=39, tm_sec=51, tm_wday=3, tm_yday=96, tm_isdst=0)",40431Removing the State Police from the Motor License Fund20230406,False
"Thursday, April 06, 2023  - Representative Christopher M. Rabb","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Representative Christopher M. Rabb'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40430'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40430,Commissioning a study on agrivoltaic farming,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseCosponsorship.xml', 'value': 'Commissioning a study on agrivoltaic farming'}","Thu, 06 Apr 2023 13:27:33 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=13, tm_min=27, tm_sec=33, tm_wday=3, tm_yday=96, tm_isdst=0)",40430Commissioning a study on agrivoltaic farming20230406,False
