title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
"Tuesday, March 07, 2023  - MASTER ROLL CALL","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Tuesday, March 07, 2023  - MASTER ROLL CALL'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=14'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=14,201 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '201 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V'}","Tue, 07 Mar 2023 14:08:23 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=7, tm_hour=14, tm_min=8, tm_sec=23, tm_wday=1, tm_yday=66, tm_isdst=0)",14MASTER ROLL CALL20230307,False
"Tuesday, March 07, 2023  - HB 2 PN 5, FINAL PASSAGE","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Tuesday, March 07, 2023  - HB 2 PN 5, FINAL PASSAGE'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=15'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=15,134 YEAS *** 67 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '134 YEAS *** 67 NAYS *** 1 LVE *** 0 N/V'}","Tue, 07 Mar 2023 14:39:55 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=7, tm_hour=14, tm_min=39, tm_sec=55, tm_wday=1, tm_yday=66, tm_isdst=0)","15HB 2 PN 5, FINAL PASSAGE20230307",False
"Monday, March 06, 2023  - MASTER ROLL CALL","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Monday, March 06, 2023  - MASTER ROLL CALL'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=12'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=12,201 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '201 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V'}","Mon, 06 Mar 2023 17:20:08 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=17, tm_min=20, tm_sec=8, tm_wday=0, tm_yday=65, tm_isdst=0)",12MASTER ROLL CALL20230306,False
"Monday, March 06, 2023  - HB 2 PN 5, 2023 A149","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Monday, March 06, 2023  - HB 2 PN 5, 2023 A149'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=13'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=13,85 YEAS *** 116 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '85 YEAS *** 116 NAYS *** 1 LVE *** 0 N/V'}","Mon, 06 Mar 2023 19:00:49 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=19, tm_min=0, tm_sec=49, tm_wday=0, tm_yday=65, tm_isdst=0)","13HB 2 PN 5, 2023 A14920230306",False
"Wednesday, March 01, 2023  - MASTER ROLL CALL","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Wednesday, March 01, 2023  - MASTER ROLL CALL'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=7'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=7,202 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '202 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V'}","Wed, 01 Mar 2023 16:09:14 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=16, tm_min=9, tm_sec=14, tm_wday=2, tm_yday=60, tm_isdst=0)",7MASTER ROLL CALL20230301,False
"Wednesday, March 01, 2023  - HR 9 PN 3, MOTION TO POSTPONE","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Wednesday, March 01, 2023  - HR 9 PN 3, MOTION TO POSTPONE'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=8'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=8,99 YEAS *** 102 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '99 YEAS *** 102 NAYS *** 1 LVE *** 0 N/V'}","Wed, 01 Mar 2023 16:35:02 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=16, tm_min=35, tm_sec=2, tm_wday=2, tm_yday=60, tm_isdst=0)","8HR 9 PN 3, MOTION TO POSTPONE20230301",False
"Wednesday, March 01, 2023  - HR 9 PN 3","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Wednesday, March 01, 2023  - HR 9 PN 3'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=9'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=9,102 YEAS *** 100 NAYS *** 0 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '102 YEAS *** 100 NAYS *** 0 LVE *** 0 N/V'}","Wed, 01 Mar 2023 17:05:54 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=17, tm_min=5, tm_sec=54, tm_wday=2, tm_yday=60, tm_isdst=0)",9HR 9 PN 320230301,False
"Wednesday, March 01, 2023  - HR 1 PN 2","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Wednesday, March 01, 2023  - HR 1 PN 2'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=10'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=10,102 YEAS *** 100 NAYS *** 0 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '102 YEAS *** 100 NAYS *** 0 LVE *** 0 N/V'}","Wed, 01 Mar 2023 17:51:19 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=17, tm_min=51, tm_sec=19, tm_wday=2, tm_yday=60, tm_isdst=0)",10HR 1 PN 220230301,False
"Wednesday, March 01, 2023  -  MOTION TO APPEAL RULING OF THE CHAIR","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Wednesday, March 01, 2023  -  MOTION TO APPEAL RULING OF THE CHAIR'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=11'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=11,102 YEAS *** 100 NAYS *** 0 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '102 YEAS *** 100 NAYS *** 0 LVE *** 0 N/V'}","Wed, 01 Mar 2023 18:04:08 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=18, tm_min=4, tm_sec=8, tm_wday=2, tm_yday=60, tm_isdst=0)",11 MOTION TO APPEAL RULING OF THE CHAIR20230301,False
"Tuesday, February 28, 2023  - MASTER ROLL CALL","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': 'Tuesday, February 28, 2023  - MASTER ROLL CALL'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=5'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=5,202 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HRC.xml', 'value': '202 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V'}","Tue, 28 Feb 2023 16:18:24 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=28, tm_hour=16, tm_min=18, tm_sec=24, tm_wday=1, tm_yday=59, tm_isdst=0)",5MASTER ROLL CALL20230228,False
