title,title_detail,links,link,summary,summary_detail,parss_primesponsor,parss_cosponsors,parss_lastaction,parss_enacted,parss_passedhouse,parss_passedsenate,published,published_parsed,id,guidislink
Senate Bill 538 Printer's Number 581,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Bill 538 Printer's Number 581""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=538&pn=581'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=538&pn=581,"An Act amending the act of April 17, 2016 (P.L.84, No.16), known as the Medical Marijuana Act, in preliminary provisions, further providing for definitions; and, in program, further providing for lawful use of medical marijuana and for unlawful use of medical marijuana....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'An Act amending the act of April 17, 2016 (P.L.84, No.16), known as the Medical Marijuana Act, in preliminary provisions, further providing for definitions; and, in program, further providing for lawful use of medical marijuana and for unlawful use of medical marijuana....'}",Senator LAUGHLIN,KANE,"Referred to LAW AND JUSTICE,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 13:50:55 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=13, tm_min=50, tm_sec=55, tm_wday=1, tm_yday=94, tm_isdst=0)",20230SB538P581,False
Senate Bill 474 Printer's Number 580,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Bill 474 Printer's Number 580""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=474&pn=580'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=474&pn=580,"An Act amending the act of December 16, 1992 (P.L.1144, No.150), known as the Credit Services Act, further providing for prohibited activities....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'An Act amending the act of December 16, 1992 (P.L.1144, No.150), known as the Credit Services Act, further providing for prohibited activities....'}",Senator BOSCOLA,"KEARNEY, FONTANA, HAYWOOD, SCHWANK, COLLETT, DILLON, KANE, STREET, TARTAGLIONE, COMITTA, SANTARSIERO, COSTA and SAVAL","Referred to BANKING AND INSURANCE,  March 31, 2023",NO,NO,NO,"Fri, 31 Mar 2023 12:47:58 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=31, tm_hour=12, tm_min=47, tm_sec=58, tm_wday=4, tm_yday=90, tm_isdst=0)",20230SB474P580,False
Senate Resolution 74 Printer's Number 579,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Resolution 74 Printer's Number 579""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=R&billNbr=74&pn=579'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=R&billNbr=74&pn=579,"A Resolution adopting a temporary rule of the Senate relating solely to amendments to the General Appropriation Bill and other appropriation bills for the fiscal year beginning July 1, 2023, including any amendments offered to or for supplemental appropriations for prior fiscal years....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'A Resolution adopting a temporary rule of the Senate relating solely to amendments to the General Appropriation Bill and other appropriation bills for the fiscal year beginning July 1, 2023, including any amendments offered to or for supplemental appropriations for prior fiscal years....'}",Senator MARTIN,,"Referred to RULES AND EXECUTIVE NOMINATIONS,  March 30, 2023",NO,NO,NO,"Thu, 30 Mar 2023 15:38:37 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=30, tm_hour=15, tm_min=38, tm_sec=37, tm_wday=3, tm_yday=89, tm_isdst=0)",20230SR74P579,False
Senate Bill 570 Printer's Number 578,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Bill 570 Printer's Number 578""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=570&pn=578'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=570&pn=578,"A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for Lieutenant Governor.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for Lieutenant Governor.'}",Senator ARGALL,"STREET, BARTOLOTTA, STEFANO, PHILLIPS-HILL, ROBINSON, AUMENT, BAKER, DiSANTO, REGAN and COSTA","Referred to STATE GOVERNMENT,  March 30, 2023",NO,NO,NO,"Thu, 30 Mar 2023 15:38:24 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=30, tm_hour=15, tm_min=38, tm_sec=24, tm_wday=3, tm_yday=89, tm_isdst=0)",20230SB570P578,False
Senate Bill 569 Printer's Number 577,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Bill 569 Printer's Number 577""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=569&pn=577'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=569&pn=577,"An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in preliminary provisions, providing for mandate waiver program....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in preliminary provisions, providing for mandate waiver program....'}",Senator COLEMAN,"PHILLIPS-HILL, DUSH, LANGERHOLC, ARGALL, HUTCHINSON, ROTHMAN, AUMENT and BAKER","Referred to EDUCATION,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 15:45:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=15, tm_min=45, tm_sec=17, tm_wday=1, tm_yday=87, tm_isdst=0)",20230SB569P577,False
Senate Bill 568 Printer's Number 576,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Bill 568 Printer's Number 576""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=568&pn=576'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=568&pn=576,"An Act providing for school entity procedures for tick removal, for notification and for duties of the Department of Health and the Department of Education....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'An Act providing for school entity procedures for tick removal, for notification and for duties of the Department of Health and the Department of Education....'}",Senator BROWN,"BARTOLOTTA, BOSCOLA, DILLON, KANE, J. WARD and BREWSTER","Referred to EDUCATION,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 15:45:11 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=15, tm_min=45, tm_sec=11, tm_wday=1, tm_yday=87, tm_isdst=0)",20230SB568P576,False
Senate Bill 567 Printer's Number 575,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Bill 567 Printer's Number 575""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=567&pn=575'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=567&pn=575,"An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, providing for grant oversight.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, providing for grant oversight.'}",Senator PHILLIPS-HILL,"PENNYCUICK, J. WARD, AUMENT and DUSH","Referred to INTERGOVERNMENTAL OPERATIONS,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 15:45:07 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=15, tm_min=45, tm_sec=7, tm_wday=1, tm_yday=87, tm_isdst=0)",20230SB567P575,False
Senate Bill 489 Printer's Number 569,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Bill 489 Printer's Number 569""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=489&pn=569'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=489&pn=569,"An Act making appropriations from the restricted revenue accounts within the State Gaming Fund and from the restricted revenue accounts within the Fantasy Contest Fund and Video Gaming Fund to the Attorney General, the Department of Revenue, the Pennsylvania State Police and the Pennsylvania Gaming Control Board for the fiscal year beginning July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'An Act making appropriations from the restricted revenue accounts within the State Gaming Fund and from the restricted revenue accounts within the Fantasy Contest Fund and Video Gaming Fund to the Attorney General, the Department of Revenue, the Pennsylvania State Police and the Pennsylvania Gaming Control Board for the fiscal year beginning July 1, 2023, to June 30, 2024, and for the payment of bills incurred and remaining unpaid at the close of the fiscal year ending June 30, 2023....'}",Senator MARTIN,,"Referred to APPROPRIATIONS,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 15:45:03 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=15, tm_min=45, tm_sec=3, tm_wday=1, tm_yday=87, tm_isdst=0)",20230SB489P569,False
Senate Bill 488 Printer's Number 568,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Bill 488 Printer's Number 568""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=488&pn=568'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=488&pn=568,"An Act making appropriations from a restricted revenue account within the General Fund and from Federal augmentation funds to the Pennsylvania Public Utility Commission for the fiscal year July 1, 2023, to June 30, 2024....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'An Act making appropriations from a restricted revenue account within the General Fund and from Federal augmentation funds to the Pennsylvania Public Utility Commission for the fiscal year July 1, 2023, to June 30, 2024....'}",Senator MARTIN,,"Referred to APPROPRIATIONS,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 15:44:58 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=15, tm_min=44, tm_sec=58, tm_wday=1, tm_yday=87, tm_isdst=0)",20230SB488P568,False
Senate Bill 487 Printer's Number 567,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': ""Senate Bill 487 Printer's Number 567""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=487&pn=567'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=487&pn=567,"An Act making appropriations from the Philadelphia Taxicab and Limousine Regulatory Fund and the Philadelphia Taxicab Medallion Fund to the Philadelphia Parking Authority for the fiscal year July 1, 2023, to June 30, 2024....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateBills.xml', 'value': 'An Act making appropriations from the Philadelphia Taxicab and Limousine Regulatory Fund and the Philadelphia Taxicab Medallion Fund to the Philadelphia Parking Authority for the fiscal year July 1, 2023, to June 30, 2024....'}",Senator MARTIN,,"Referred to APPROPRIATIONS,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 15:44:54 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=15, tm_min=44, tm_sec=54, tm_wday=1, tm_yday=87, tm_isdst=0)",20230SB487P567,False
