title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
Amendment 162 to Senate Bill 137 Printer's Number 116,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 162 to Senate Bill 137 Printer's Number 116""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=137&pn=0116&ayear=2023&an=00162'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=137&pn=0116&ayear=2023&an=00162,Filed on 3/7/2023 for Senator J. WARD,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 3/7/2023 for Senator J. WARD'}","Tue, 07 Mar 2023 15:48:25 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=7, tm_hour=15, tm_min=48, tm_sec=25, tm_wday=1, tm_yday=66, tm_isdst=0)",SB137P0116A162,False
Amendment 160 to Senate Bill 144 Printer's Number 119,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 160 to Senate Bill 144 Printer's Number 119""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=144&pn=0119&ayear=2023&an=00160'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=144&pn=0119&ayear=2023&an=00160,Filed on 3/6/2023 for Senator YAW,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 3/6/2023 for Senator YAW'}","Mon, 06 Mar 2023 15:48:21 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=15, tm_min=48, tm_sec=21, tm_wday=0, tm_yday=65, tm_isdst=0)",SB144P0119A160,False
Amendment 140 to Senate Bill 143 Printer's Number 154,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 140 to Senate Bill 143 Printer's Number 154""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=143&pn=0154&ayear=2023&an=00140'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=143&pn=0154&ayear=2023&an=00140,Filed on 3/6/2023 for Senator BROWN,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 3/6/2023 for Senator BROWN'}","Mon, 06 Mar 2023 12:27:31 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=12, tm_min=27, tm_sec=31, tm_wday=0, tm_yday=65, tm_isdst=0)",SB143P0154A140,False
Amendment 93 to Senate Bill 298 Printer's Number 248,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 93 to Senate Bill 298 Printer's Number 248""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=298&pn=0248&ayear=2023&an=00093'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=298&pn=0248&ayear=2023&an=00093,Filed on 3/1/2023 for Senator LANGERHOLC,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 3/1/2023 for Senator LANGERHOLC'}","Wed, 01 Mar 2023 13:03:26 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=13, tm_min=3, tm_sec=26, tm_wday=2, tm_yday=60, tm_isdst=0)",SB298P0248A93,False
Amendment 88 to Senate Bill 459 Printer's Number 380,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 88 to Senate Bill 459 Printer's Number 380""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=459&pn=0380&ayear=2023&an=00088'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=459&pn=0380&ayear=2023&an=00088,Filed on 3/1/2023 for Senator ROTHMAN,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 3/1/2023 for Senator ROTHMAN'}","Wed, 01 Mar 2023 13:03:26 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=13, tm_min=3, tm_sec=26, tm_wday=2, tm_yday=60, tm_isdst=0)",SB459P0380A88,False
Amendment 20 to Senate Bill 35 Printer's Number 13,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 20 to Senate Bill 35 Printer's Number 13""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=35&pn=0013&ayear=2023&an=00020'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=35&pn=0013&ayear=2023&an=00020,Filed on 1/11/2023 for Senator HUGHES,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 1/11/2023 for Senator HUGHES'}","Wed, 11 Jan 2023 11:42:35 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=11, tm_hour=11, tm_min=42, tm_sec=35, tm_wday=2, tm_yday=11, tm_isdst=0)",SB35P0013A20,False
Amendment 18 to Senate Bill 1 Printer's Number 26,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 18 to Senate Bill 1 Printer's Number 26""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0026&ayear=2023&an=00018'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0026&ayear=2023&an=00018,Filed on 1/11/2023 for Senator BOSCOLA,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 1/11/2023 for Senator BOSCOLA'}","Wed, 11 Jan 2023 11:41:58 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=11, tm_hour=11, tm_min=41, tm_sec=58, tm_wday=2, tm_yday=11, tm_isdst=0)",SB1P0026A18,False
Amendment 17 to Senate Bill 1 Printer's Number 26,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 17 to Senate Bill 1 Printer's Number 26""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0026&ayear=2023&an=00017'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0026&ayear=2023&an=00017,Filed on 1/11/2023 for Senator BOSCOLA,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 1/11/2023 for Senator BOSCOLA'}","Wed, 11 Jan 2023 11:41:33 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=11, tm_hour=11, tm_min=41, tm_sec=33, tm_wday=2, tm_yday=11, tm_isdst=0)",SB1P0026A17,False
Amendment 16 to Senate Bill 1 Printer's Number 26,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 16 to Senate Bill 1 Printer's Number 26""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0026&ayear=2023&an=00016'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0026&ayear=2023&an=00016,Filed on 1/11/2023 for Senator BOSCOLA,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 1/11/2023 for Senator BOSCOLA'}","Wed, 11 Jan 2023 11:40:45 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=11, tm_hour=11, tm_min=40, tm_sec=45, tm_wday=2, tm_yday=11, tm_isdst=0)",SB1P0026A16,False
Amendment 13 to Senate Bill 1 Printer's Number 22,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': ""Amendment 13 to Senate Bill 1 Printer's Number 22""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0022&ayear=2023&an=00013'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0022&ayear=2023&an=00013,Filed on 1/10/2023 for Senator PITTMAN,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/SenateAmendments.xml', 'value': 'Filed on 1/10/2023 for Senator PITTMAN'}","Tue, 10 Jan 2023 17:08:40 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=10, tm_hour=17, tm_min=8, tm_sec=40, tm_wday=1, tm_yday=10, tm_isdst=0)",SB1P0022A13,False
