title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
"Wednesday, March 08, 2023  -  Approval of the Previous Days Journal January 13, 17, 18, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Wednesday, March 08, 2023  -  Approval of the Previous Days Journal January 13, 17, 18, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=45'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=45,49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V'}","Wed, 08 Mar 2023 16:20:54 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=16, tm_min=20, tm_sec=54, tm_wday=2, tm_yday=67, tm_isdst=0)","45 Approval of the Previous Days Journal January 13, 17, 18, 202320230308",False
"Wednesday, March 08, 2023  - SB 143 PN 388, Final Passage","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Wednesday, March 08, 2023  - SB 143 PN 388, Final Passage'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=46'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=46,40 YEAS *** 9 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '40 YEAS *** 9 NAYS *** 1 LVE *** 0 N/V'}","Wed, 08 Mar 2023 17:21:55 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=17, tm_min=21, tm_sec=55, tm_wday=2, tm_yday=67, tm_isdst=0)","46SB 143 PN 388, Final Passage20230308",False
"Wednesday, March 08, 2023  - SB 379 PN 272, Final Passage","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Wednesday, March 08, 2023  - SB 379 PN 272, Final Passage'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=47'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=47,49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V'}","Wed, 08 Mar 2023 17:26:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=17, tm_min=26, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)","47SB 379 PN 272, Final Passage20230308",False
"Wednesday, March 08, 2023  - SB 126 PN 16, Final Passage","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Wednesday, March 08, 2023  - SB 126 PN 16, Final Passage'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=48'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=48,49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V'}","Wed, 08 Mar 2023 17:34:06 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=17, tm_min=34, tm_sec=6, tm_wday=2, tm_yday=67, tm_isdst=0)","48SB 126 PN 16, Final Passage20230308",False
"Wednesday, March 08, 2023  - SB 162 PN 43, Final Passage","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Wednesday, March 08, 2023  - SB 162 PN 43, Final Passage'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=49'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=49,49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V'}","Wed, 08 Mar 2023 17:36:19 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=17, tm_min=36, tm_sec=19, tm_wday=2, tm_yday=67, tm_isdst=0)","49SB 162 PN 43, Final Passage20230308",False
"Wednesday, March 08, 2023  - SB 211 PN 180, Final Passage","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Wednesday, March 08, 2023  - SB 211 PN 180, Final Passage'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=50'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=50,36 YEAS *** 13 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '36 YEAS *** 13 NAYS *** 1 LVE *** 0 N/V'}","Wed, 08 Mar 2023 17:43:30 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=17, tm_min=43, tm_sec=30, tm_wday=2, tm_yday=67, tm_isdst=0)","50SB 211 PN 180, Final Passage20230308",False
"Wednesday, March 08, 2023  -  Executive Nominations, State Police Commissioner Christopher L. Paris","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Wednesday, March 08, 2023  -  Executive Nominations, State Police Commissioner Christopher L. Paris'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=51'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=51,49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V'}","Wed, 08 Mar 2023 17:46:34 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=17, tm_min=46, tm_sec=34, tm_wday=2, tm_yday=67, tm_isdst=0)","51 Executive Nominations, State Police Commissioner Christopher L. Paris20230308",False
"Wednesday, March 08, 2023  -  Executive Nominations, Attorney General Michelle A. Henry","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Wednesday, March 08, 2023  -  Executive Nominations, Attorney General Michelle A. Henry'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=52'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=52,49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V'}","Wed, 08 Mar 2023 17:47:36 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=17, tm_min=47, tm_sec=36, tm_wday=2, tm_yday=67, tm_isdst=0)","52 Executive Nominations, Attorney General Michelle A. Henry20230308",False
"Tuesday, March 07, 2023  -  Weekly Recess","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Tuesday, March 07, 2023  -  Weekly Recess'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=40'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=40,50 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '50 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V'}","Tue, 07 Mar 2023 16:12:04 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=7, tm_hour=16, tm_min=12, tm_sec=4, tm_wday=1, tm_yday=66, tm_isdst=0)",40 Weekly Recess20230307,False
"Tuesday, March 07, 2023  - SB 144 PN 390, Final Passage","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': 'Tuesday, March 07, 2023  - SB 144 PN 390, Final Passage'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=41'}]",https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=41,36 YEAS *** 14 NAYS *** 0 LVE *** 0 N/V,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SRC.xml', 'value': '36 YEAS *** 14 NAYS *** 0 LVE *** 0 N/V'}","Tue, 07 Mar 2023 20:47:52 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=7, tm_hour=20, tm_min=47, tm_sec=52, tm_wday=1, tm_yday=66, tm_isdst=0)","41SB 144 PN 390, Final Passage20230307",False
