title,title_detail,links,link,summary,summary_detail,tags,published,published_parsed,id,guidislink
Senate Bill 267 Printer's Number 0232,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 267 Printer's Number 0232""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=267'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=267,"An Act amending Titles 18 (Crimes and Offenses) and 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in offenses against the family, further providing for newborn protection; in child protective services, further providing for definitions and for taking child into protective custody; and, in newborn protection, further providing for definitions and for incubators for newborns, providing for health care providers at urgent care centers accepting newborns and further providing for reporting acceptance of newborns, for immunity and for duties of department.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act amending Titles 18 (Crimes and Offenses) and 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in offenses against the family, further providing for newborn protection; in child protective services, further providing for definitions and for taking child into protective custody; and, in newborn protection, further providing for definitions and for incubators for newborns, providing for health care providers at urgent care centers accepting newborns and further providing for reporting acceptance of newborns, for immunity and for duties of department.'}","[{'term': 'BILL ON THIRD CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB267P0232 03082023 013617PM,False
Senate Bill 188 Printer's Number 0086,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 188 Printer's Number 0086""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=188'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=188,"An Act amending the act of June 25, 1982 (P.L.633, No.181), known as the Regulatory Review Act, further providing for definitions, for proposed regulations and procedures for review and for final-form regulations and final-omitted regulations and procedures for review; and providing for concurrent resolution required for economically significant regulations.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act amending the act of June 25, 1982 (P.L.633, No.181), known as the Regulatory Review Act, further providing for definitions, for proposed regulations and procedures for review and for final-form regulations and final-omitted regulations and procedures for review; and providing for concurrent resolution required for economically significant regulations.'}","[{'term': 'BILLS ON SECOND CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB188P0086 03082023 013617PM,False
Senate Bill 190 Printer's Number 0088,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 190 Printer's Number 0088""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=190'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=190,"An Act amending the act of June 25, 1982 (P.L.633, No.181), known as the Regulatory Review Act, further providing for definitions and for existing regulations.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act amending the act of June 25, 1982 (P.L.633, No.181), known as the Regulatory Review Act, further providing for definitions and for existing regulations.'}","[{'term': 'BILLS ON SECOND CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB190P0088 03082023 013617PM,False
Senate Bill 226 Printer's Number 0195,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 226 Printer's Number 0195""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=226'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=226,"An Act amending the act of April 27, 1927 (P.L.465, No.299), referred to as the Fire and Panic Act, further providing for standards for Class VI buildings.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act amending the act of April 27, 1927 (P.L.465, No.299), referred to as the Fire and Panic Act, further providing for standards for Class VI buildings.'}","[{'term': 'BILLS ON SECOND CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB226P0195 03082023 013617PM,False
Senate Bill 239 Printer's Number 0205,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 239 Printer's Number 0205""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=239'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=239,An Act providing for guidelines and procedures governing certain investigations and interrogations of correctional and forensic employees; authorizing certain civil suits by correctional officers; and providing for impact of collective bargaining agreements and for summary suspensions.,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act providing for guidelines and procedures governing certain investigations and interrogations of correctional and forensic employees; authorizing certain civil suits by correctional officers; and providing for impact of collective bargaining agreements and for summary suspensions.'}","[{'term': 'BILLS ON SECOND CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB239P0205 03082023 013617PM,False
Senate Bill 295 Printer's Number 0269,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 295 Printer's Number 0269""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=295'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=295,An Act providing for the establishment of first-time home buyer savings accounts for first-time home buyers in this Commonwealth.,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act providing for the establishment of first-time home buyer savings accounts for first-time home buyers in this Commonwealth.'}","[{'term': 'BILLS ON SECOND CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB295P0269 03082023 013617PM,False
Senate Bill 433 Printer's Number 0374,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 433 Printer's Number 0374""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=433'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=433,"An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, in Pennsylvania Emergency Management Agency, further providing for organization.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, in Pennsylvania Emergency Management Agency, further providing for organization.'}","[{'term': 'BILLS ON SECOND CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB433P0374 03082023 013617PM,False
Senate Bill 446 Printer's Number 0369,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 446 Printer's Number 0369""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=446'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=446,"An Act amending Title 51 (Military Affairs) of the Pennsylvania Consolidated Statutes, in Pennsylvania National Guard, providing for vaccine exemption.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act amending Title 51 (Military Affairs) of the Pennsylvania Consolidated Statutes, in Pennsylvania National Guard, providing for vaccine exemption.'}","[{'term': 'BILLS ON SECOND CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB446P0369 03082023 013617PM,False
Senate Bill 453 Printer's Number 0378,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 453 Printer's Number 0378""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=453'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=453,"An Act amending Titles 42 (Judiciary and Judicial Procedure) and 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in sentencing, further providing for sentence of total confinement; in licensing of drivers, further providing for driving while operating privilege is suspended or revoked and for ignition interlock limited license; and, in driving after imbibing alcohol or utilizing drugs, further providing for ignition interlock.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act amending Titles 42 (Judiciary and Judicial Procedure) and 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in sentencing, further providing for sentence of total confinement; in licensing of drivers, further providing for driving while operating privilege is suspended or revoked and for ignition interlock limited license; and, in driving after imbibing alcohol or utilizing drugs, further providing for ignition interlock.'}","[{'term': 'BILLS ON SECOND CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB453P0378 03082023 013617PM,False
Senate Bill 466 Printer's Number 0384,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': ""Senate Bill 466 Printer's Number 0384""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=466'}]",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2023&sind=0&body=S&type=B&bn=466,"An Act amending the act of May 19, 1995 (P.L.33, No.3), known as the Economic Development Agency, Fiduciary and Lender Environmental Liability Protection Act, further providing for definitions.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CAL/SenateCalendarSS0reg.xml', 'value': 'An Act amending the act of May 19, 1995 (P.L.33, No.3), known as the Economic Development Agency, Fiduciary and Lender Environmental Liability Protection Act, further providing for definitions.'}","[{'term': 'BILLS ON SECOND CONSIDERATION', 'scheme': None, 'label': None}]","Wed, 08 Mar 2023 18:36:17 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=36, tm_sec=17, tm_wday=2, tm_yday=67, tm_isdst=0)",SB466P0384 03082023 013617PM,False
